1.4851,-0.87523,0.35194,-0.82079,-1.0982,-0.64311,1.794,-0.74031,0.1942,2.0556,0.039085,2.6403,6
0.90085,-0.76769,0.28175,-0.59989,-0.33645,-0.4077,1.1117,-0.6756,-0.046798,1.3366,0.13335,1.4518,9
1.3548,-0.69687,0.76968,-0.47243,0.53756,-0.096003,1.5741,-0.60108,0.19975,1.3164,0.4595,1.3581,9
0.6267,-0.92132,0.31901,-0.92136,-1.2767,-0.71926,0.47356,-0.67765,0.20311,1.7514,-0.50569,1.9684,6
1.0113,-0.66347,0.46575,-0.66499,-0.58503,-0.36548,0.51015,-0.4621,0.57566,1.251,0.027271,1.33,6
8.645,-0.29462,0.26152,-0.34245,7.6357,4.1736,3.8066,0.29985,6.4505,0.70013,5.9442,0.65785,6
1.3029,-0.46801,0.5787,-0.46804,0.41954,0.25476,-0.65044,-0.40028,0.83712,1.082,0.45818,0.89704,9
0.89381,-0.76181,0.24432,-0.76185,-0.058232,0.11729,-1.5141,-0.72205,0.47076,1.426,0.062156,1.2461,9
0.57525,-0.99561,-0.00097584,-0.99564,-0.72232,-0.16383,-2.2892,-0.98572,0.15838,1.8333,-0.2214,1.5948,9
0.67378,-0.93317,0.24518,-0.93321,-0.93048,-0.38077,-1.3105,-0.93645,0.17866,1.7302,-0.22921,1.5852,9
0.60109,-0.71306,0.59634,-0.71309,-1.4852,-0.67194,-0.39629,-0.71612,-0.023645,1.1669,0.10005,1.4346,6
0.17029,-0.83114,0.31269,-0.83118,-2.1502,-0.78522,-1.0177,-0.83573,0.0012376,1.3227,-0.18441,1.6619,6
-0.034943,-0.94288,0.22024,-0.94293,-2.4385,-0.89144,-1.2812,-0.94846,-0.24827,1.6551,-0.27167,1.7661,6
0.33155,-0.77721,0.55234,-0.77724,-1.2777,-0.66812,-0.68685,-0.78239,-0.2497,1.2888,-0.016831,1.3444,6
0.82112,-0.48699,0.79513,-0.48701,-0.17613,-0.29363,-0.21748,-0.494,0.17111,1.057,0.35084,1.0103,9
0.6726,-0.64901,0.54142,-0.64902,-0.081487,-0.34537,-0.72634,-0.65907,0.14605,1.2743,0.32608,1.3445,9
0.57462,-0.78772,0.347,-0.78773,0.40832,-0.34141,-1.0918,-0.8003,0.10788,1.4639,0.00015864,1.6306,9
0.6954,-0.78708,0.47024,-0.78709,0.66791,-0.3122,-0.88669,-0.79957,0.098727,1.5181,-0.10547,1.5312,9
0.71877,-0.62117,0.621,-0.62119,0.026673,-0.025664,-0.85838,-0.63178,0.49548,1.3397,-0.011088,1.2647,6
0.48179,-0.89477,0.33977,-0.89484,-0.85889,-0.63544,-0.92509,-0.65477,0.27446,1.4764,-0.2515,1.6121,6
0.55434,-0.96688,0.20662,-0.96695,-0.40502,-0.63159,-0.44637,-0.27598,0.17404,1.3788,-0.27173,1.5821,6
0.96914,-0.72882,0.52304,-0.72884,0.49869,-0.23257,0.16394,0.097707,0.29773,1.1057,0.046556,0.90673,6
0.64894,-0.72749,0.42271,-0.7275,-0.96098,-0.51046,-0.29733,0.24384,-0.0028635,1.1279,0.33007,1.3115,9
0.63697,-0.64284,0.42928,-0.64284,-0.1301,-0.25818,-0.28651,0.3051,0.062422,0.9357,0.29495,1.2731,9
0.26646,-1.3501,-0.09736,-0.99486,0.47294,-0.35939,0.43855,-0.33776,0.62808,0.89275,0.52749,1.0531,3
